"smoothLatitude","smoothLongitude","smoothElevation","smoothGentimeSec","ID"
42.2915499999757,-83.7232699999893,252.902324181691,351277772.5,"ID180029190037582-30640"
42.291549999978,-83.7232699999931,252.908210691707,351277772.6,"ID180029190037582-30640"
42.291549999978,-83.7232699999931,252.916401287235,351277772.7,"ID180029190037582-30640"
42.291549999978,-83.7232699999931,252.924591882763,351277772.8,"ID180029190037582-30640"
42.291549999978,-83.7232699999931,252.93278247829,351277772.9,"ID180029190037582-30640"
42.291549999978,-83.7232699999931,252.940973073818,351277773,"ID180029190037582-30640"
42.2915499999781,-83.7232699999931,252.949163669346,351277773.1,"ID180029190037582-30640"
42.2915499999781,-83.7232699999931,252.958495574364,351277773.2,"ID180029190037582-30640"
42.2915499999781,-83.7232699999931,252.967827479383,351277773.3,"ID180029190037582-30640"
42.2915499999781,-83.7232699999931,252.977159384402,351277773.4,"ID180029190037582-30640"
